user_name,tone,time_date,text,date_column,translated_text
cristiano ronaldo,positive,2022-10-10 11:05:00,what a beautiful number weve achieved together thank you to all my teammates coaches clubs family amp friends and of course my fans united we continue,2022-10-10 11:05:00,what a beautiful number weve achieved together thank you to all my teammates coaches clubs family amp friends and of course my fans united we continue
cristiano ronaldo,positive,2022-10-09 22:03:00,great win guys another step in the right direction westandunited,2022-10-09 22:03:00,great win guys another step in the right direction westandunited
cristiano ronaldo,positive,2022-09-05 15:20:00,its always good to be with you alwaystogether,2022-09-05 15:20:00,its always good to be with you alwaystogether
cristiano ronaldo,positive,2022-09-04 18:57:00,well done lads and a very special thank you to our supporters lets go devils,2022-09-04 18:57:00,well done lads and a very special thank you to our supporters lets go devils
cristiano ronaldo,positive,2022-09-02 14:28:00,great victory mufc,2022-09-02 14:28:00,great victory mufc
cristiano ronaldo,negative,2022-08-10 18:38:00,hard work always pays off,2022-08-10 18:38:00,hard work always pays off
cristiano ronaldo,neutral,2022-06-09 14:45:00,est na hora de reforar a liderana no grupo manter o bom momento exibicional e brindar os nossos adeptos com mais uma vitria como sempre contamos com o vosso incansvel apoio vamos portugal,2022-06-09 14:45:00,It's time to reform leadership in the group to maintain the good moment exhibition and toast our fans with another vitia as we always count on your inability to go Portugal
cristiano ronaldo,neutral,2022-06-06 17:00:00,download the app and get all your football updates wherever you are,2022-06-06 17:00:00,download the app and get all your football updates wherever you are
cristiano ronaldo,neutral,2022-06-06 12:24:00,,2022-06-06 12:24:00,Into
cristiano ronaldo,neutral,2022-06-05 22:37:00,vitria importantssima na nossa caminhada muito orgulho e confiana neste grupo muita fora para darmos aos portugueses aquilo que tanto desejamos vitrias e exibies convincentes parece que a poca est a acabar mas na verdade isto ainda est s a comear,2022-06-05 22:37:00,Important Vitria in our walk a lot of pride and trust in this group a lot out to give the Portuguese what we want vitrians and convincing display seems to end but in fact this is still starting
cristiano ronaldo,neutral,2022-06-05 09:43:00,muitos parabns meus amores o pap no podia estar mais orgulhoso de vocs continuem a ser felizes e com esses sorrisos lindos amovos muito,2022-06-05 09:43:00,Many congratulations my loves the bread could not be more proud of you continue to be happy and with these beautiful smiles very
cristiano ronaldo,positive,2022-05-12 17:54:00,my nd premier league player of the month award the th in my career im as happy to win today as i was in my early days the hunger for victory and achievements never fades away thanks to everyone that made this possible,2022-05-12 17:54:00,my nd premier league player of the month award the th in my career im as happy to win today as i was in my early days the hunger for victory and achievements never fades away thanks to everyone that made this possible
cristiano ronaldo,positive,2022-05-09 10:32:00,always good to be with my bros,2022-05-09 10:32:00,always good to be with my bros
cristiano ronaldo,neutral,2022-05-03 17:00:00,download the app and never miss any of my goals,2022-05-03 17:00:00,download the app and never miss any of my goals
cristiano ronaldo,positive,2022-04-07 20:10:00,work hard focus on the everyday goals enjoy the moments with your friends great training session with my boy dalot keep fighting,2022-04-07 20:10:00,work hard focus on the everyday goals enjoy the moments with your friends great training session with my boy dalot keep fighting
cristiano ronaldo,positive,2022-04-03 13:17:00,family is everything proud,2022-04-03 13:17:00,family is everything proud
cristiano ronaldo,neutral,2022-03-01 16:56:00,keep working,2022-03-01 16:56:00,keep working
cristiano ronaldo,neutral,2022-02-11 18:59:00,focus mufc,2022-02-11 18:59:00,focus mufc
cristiano ronaldo,positive,2022-02-09 16:02:00,children are and will always be the best thing the world has to offer and we must protect them at all costs supporters are and will always be the best in football and we must respect everything they face and endure for their clubs,2022-02-09 16:02:00,children are and will always be the best thing the world has to offer and we must protect them at all costs supporters are and will always be the best in football and we must respect everything they face and endure for their clubs
cristiano ronaldo,positive,2022-02-05 22:50:00,life is a roller coaster hard work high speed urgent goals demanding expectations but in the end it all comes down to family love honesty friendship values that make it all worth it thanks for all the messages and counting,2022-02-05 22:50:00,life is a roller coaster hard work high speed urgent goals demanding expectations but in the end it all comes down to family love honesty friendship values that make it all worth it thanks for all the messages and counting
cristiano ronaldo,positive,2022-01-11 11:25:00,good morning,2022-01-11 11:25:00,good morning
cristiano ronaldo,positive,2022-01-02 17:55:00,enjoyed being the worlds first maskchanging footballer warrior exclusive bts and how it is made possible with advanced technology is giving away a shirt i signed to a subscriber sign up at to watch the full video and know how to participate,2022-01-02 17:55:00,enjoyed being the worlds first maskchanging footballer warrior exclusive bts and how it is made possible with advanced technology is giving away a shirt i signed to a subscriber sign up at to watch the full video and know how to participate
